66.249.67.142;[21/Sep/2014:07:16:04 -0400];"GET /resources/journal-list.html HTTP/1.1";38958
24.247.165.23;[21/Sep/2014:08:24:09 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
24.247.165.23;[21/Sep/2014:08:24:10 -0400];"GET /cs/cs-style.css HTTP/1.1";795
115.248.50.33;[21/Sep/2014:09:32:26 -0400];"GET /mspapers/sources/bo-huang.pdf HTTP/1.1";299551
115.248.50.33;[21/Sep/2014:09:32:27 -0400];"GET /mspapers/sources/bo-huang.pdf HTTP/1.1";299551
115.248.50.33;[21/Sep/2014:09:32:28 -0400];"GET /mspapers/sources/bo-huang.pdf HTTP/1.1";299551
115.248.50.33;[21/Sep/2014:09:32:29 -0400];"GET /mspapers/sources/bo-huang.pdf HTTP/1.1";299551
115.248.50.33;[21/Sep/2014:09:32:30 -0400];"GET /mspapers/sources/bo-huang.pdf HTTP/1.1";299551
117.217.7.21;[21/Sep/2014:10:23:54 -0400];"GET /ms/msfaq.html HTTP/1.1";32593
117.217.7.21;[21/Sep/2014:10:23:54 -0400];"GET /ms/ms-style.css HTTP/1.1";789
117.217.7.21;[21/Sep/2014:10:23:54 -0400];"GET /favicon.ico HTTP/1.1";1150
117.217.7.21;[21/Sep/2014:10:36:13 -0400];"GET / HTTP/1.1";13520
117.217.7.21;[21/Sep/2014:10:36:13 -0400];"GET /index-style.css HTTP/1.1";1498
117.217.7.21;[21/Sep/2014:10:36:13 -0400];"GET /switch-menu.js HTTP/1.1";2685
117.217.7.21;[21/Sep/2014:10:36:13 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
117.217.7.21;[21/Sep/2014:10:36:13 -0400];"GET /graphics/logo16.png HTTP/1.1";38873
117.217.7.21;[21/Sep/2014:10:36:25 -0400];"GET /ms/mscourses.html HTTP/1.1";11184
98.235.191.228;[21/Sep/2014:11:23:16 -0400];"GET /~jwd5623/ HTTP/1.1";10097
98.235.191.228;[21/Sep/2014:11:23:16 -0400];"GET /~jwd5623/style/homepage.css HTTP/1.1";785
98.235.191.228;[21/Sep/2014:11:23:16 -0400];"GET /~jwd5623/script/homepage.js HTTP/1.1";1960
98.235.191.228;[21/Sep/2014:11:23:16 -0400];"GET /favicon.ico HTTP/1.1";1150
117.217.7.21;[21/Sep/2014:11:24:11 -0400];"GET /ms/index.html HTTP/1.1";7296
117.217.7.21;[21/Sep/2014:11:24:11 -0400];"GET /ms/ms-style.css HTTP/1.1";789
117.217.7.21;[21/Sep/2014:11:24:12 -0400];"GET /favicon.ico HTTP/1.1";1150
117.217.7.21;[21/Sep/2014:11:24:17 -0400];"GET /ms/msfaq.html HTTP/1.1";32593
203.126.201.2;[21/Sep/2014:12:23:43 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
203.126.201.2;[21/Sep/2014:12:23:44 -0400];"GET /cs/cs-style.css HTTP/1.1";795
203.126.201.2;[21/Sep/2014:12:23:46 -0400];"GET /favicon.ico HTTP/1.1";1150
97.104.19.126;[21/Sep/2014:13:43:36 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
97.104.19.126;[21/Sep/2014:13:43:36 -0400];"GET /cs/cs-style.css HTTP/1.1";795
97.104.19.126;[21/Sep/2014:13:43:36 -0400];"GET /favicon.ico HTTP/1.1";1150
97.104.19.126;[21/Sep/2014:13:45:17 -0400];"GET /favicon.ico HTTP/1.1";1150
97.104.19.126;[21/Sep/2014:13:45:18 -0400];"GET /browserconfig.xml HTTP/1.1";299
66.162.42.131;[21/Sep/2014:14:58:04 -0400];"GET /robots.txt HTTP/1.0";292
66.162.42.131;[21/Sep/2014:14:58:05 -0400];"GET / HTTP/1.0";13520
66.162.42.131;[21/Sep/2014:14:58:05 -0400];"GET /robots.txt HTTP/1.0";292
66.162.42.131;[21/Sep/2014:14:58:05 -0400];"GET / HTTP/1.0";13520
66.162.42.131;[21/Sep/2014:14:58:05 -0400];"GET /graphics/Shield.gif HTTP/1.0";1510
66.162.42.131;[21/Sep/2014:14:58:06 -0400];"GET /graphics/Shield.gif HTTP/1.0";1510
213.67.145.160;[21/Sep/2014:15:42:35 -0400];"GET /robots.txt HTTP/1.1";292
213.67.145.160;[21/Sep/2014:15:42:35 -0400];"GET / HTTP/1.1";13520
213.67.145.160;[21/Sep/2014:15:43:00 -0400];"GET /index-style.css HTTP/1.1";1498
213.67.145.160;[21/Sep/2014:15:43:01 -0400];"GET /switch-menu.js HTTP/1.1";2685
213.67.145.160;[21/Sep/2014:15:43:01 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
146.186.64.165;[21/Sep/2014:16:53:31 -0400];"GET /cmpsc487/ HTTP/1.1";32707
146.186.64.165;[21/Sep/2014:16:53:31 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.89.24;[21/Sep/2014:17:47:12 -0400];"GET /cmpsc487 HTTP/1.1";32707
146.186.89.24;[21/Sep/2014:17:47:12 -0400];"GET /cmpsc487/ HTTP/1.1";32707
146.186.89.24;[21/Sep/2014:17:47:12 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.89.24;[21/Sep/2014:17:48:02 -0400];"GET /cmpsc487/HW2_UseCase.pdf HTTP/1.1";82422
146.186.89.24;[21/Sep/2014:17:48:02 -0400];"GET /cmpsc487/HW2_UseCase.pdf HTTP/1.1";82422
146.186.89.24;[21/Sep/2014:17:48:02 -0400];"GET /cmpsc487/HW2_UseCase.pdf HTTP/1.1";82422
208.115.113.82;[21/Sep/2014:18:26:55 -0400];"GET /robots.txt HTTP/1.1";292
208.115.113.82;[21/Sep/2014:19:03:43 -0400];"GET /%7Ewahls/present/coc98/web/ HTTP/1.1";307
68.3.105.44;[21/Sep/2014:19:20:22 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
68.3.105.44;[21/Sep/2014:19:20:22 -0400];"GET /cs/cs-style.css HTTP/1.1";795
68.3.105.44;[21/Sep/2014:19:20:23 -0400];"GET /favicon.ico HTTP/1.1";1150
66.162.42.131;[21/Sep/2014:20:24:31 -0400];"GET /robots.txt HTTP/1.0";292
66.162.42.131;[21/Sep/2014:20:24:32 -0400];"GET / HTTP/1.0";13520
66.162.42.131;[21/Sep/2014:20:24:32 -0400];"GET /graphics/Shield.gif HTTP/1.0";1510
71.207.56.103;[21/Sep/2014:20:24:38 -0400];"GET /comp519 HTTP/1.1";5424
71.207.56.103;[21/Sep/2014:20:24:38 -0400];"GET /comp519/ HTTP/1.1";5424
71.207.56.103;[21/Sep/2014:20:24:38 -0400];"GET /favicon.ico HTTP/1.1";1150
71.207.56.103;[21/Sep/2014:20:24:43 -0400];"GET /comp519/hw3.html HTTP/1.1";4327
71.207.56.103;[21/Sep/2014:20:24:47 -0400];"GET /comp519/hw2.html HTTP/1.1";5456
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/er.html HTTP/1.1";15838
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/flyshop1.gif HTTP/1.1";4920
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/flyshop2.gif HTTP/1.1";7773
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/ergifs/img5.gif HTTP/1.1";84
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/ergifs/img1.gif HTTP/1.1";199
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/ergifs/img4.gif HTTP/1.1";518
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/ergifs/img3.gif HTTP/1.1";197
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/ergifs/img2.gif HTTP/1.1";506
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/ergifs/img7.gif HTTP/1.1";88
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/ergifs/img6.gif HTTP/1.1";87
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/cart1.gif HTTP/1.1";5461
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/oneone.gif HTTP/1.1";1547
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/onem.gif HTTP/1.1";1672
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/mone.gif HTTP/1.1";1810
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/ernote.gif HTTP/1.1";1472
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/mm.gif HTTP/1.1";1824
184.180.182.245;[21/Sep/2014:21:13:55 -0400];"GET /courses/comp419.taw.s97/flyer.gif HTTP/1.1";5954
184.180.182.245;[21/Sep/2014:21:13:56 -0400];"GET /favicon.ico HTTP/1.1";1150
74.72.236.16;[21/Sep/2014:22:10:51 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
74.72.236.16;[21/Sep/2014:22:10:51 -0400];"GET /cs/cs-style.css HTTP/1.1";795
74.72.236.16;[21/Sep/2014:22:10:52 -0400];"GET /favicon.ico HTTP/1.1";1150
1.39.62.48;[21/Sep/2014:23:03:17 -0400];"GET /comp512.papers/singhaldeadsurvey-1.pdf HTTP/1.1";1030585
1.39.62.48;[21/Sep/2014:23:03:19 -0400];"GET /comp512.papers/singhaldeadsurvey-1.pdf HTTP/1.1";1030585
115.248.36.156;[21/Sep/2014:23:49:55 -0400];"GET /~ding/publications/SAC02_db15.pdf HTTP/1.1";61510
115.248.36.156;[21/Sep/2014:23:50:00 -0400];"GET /favicon.ico HTTP/1.1";1150
115.248.36.156;[21/Sep/2014:23:58:53 -0400];"GET /~ding/publications/icdm_Ptree_arm.pdf HTTP/1.1";125231
123.125.71.35;[22/Sep/2014:01:06:12 -0400];"GET / HTTP/1.1";13520
222.252.255.74;[22/Sep/2014:01:48:59 -0400];"GET /~null/ HTTP/1.1";9353
222.252.255.74;[22/Sep/2014:01:48:59 -0400];"GET /~null/ecoa4e.jpg HTTP/1.1";13754
222.252.255.74;[22/Sep/2014:01:48:59 -0400];"GET /~null/texty_logo.jpg HTTP/1.1";23929
222.252.255.74;[22/Sep/2014:01:49:00 -0400];"GET /~null/granite3.jpg HTTP/1.1";40348
222.252.255.74;[22/Sep/2014:01:49:03 -0400];"GET /favicon.ico HTTP/1.1";1150
182.65.170.6;[22/Sep/2014:02:27:23 -0400];"GET /~ding/publications/PAKDD02_KNN.pdf HTTP/1.1";211193
182.65.170.6;[22/Sep/2014:02:27:22 -0400];"GET /~ding/publications/PAKDD02_KNN.pdf HTTP/1.1";211193
182.65.170.6;[22/Sep/2014:02:27:23 -0400];"GET /~ding/publications/PAKDD02_KNN.pdf HTTP/1.1";211193
182.65.170.6;[22/Sep/2014:02:27:24 -0400];"GET /~ding/publications/PAKDD02_KNN.pdf HTTP/1.1";211193
182.65.170.6;[22/Sep/2014:02:27:25 -0400];"GET /~ding/publications/PAKDD02_KNN.pdf HTTP/1.1";211193
182.65.170.6;[22/Sep/2014:02:27:26 -0400];"GET /favicon.ico HTTP/1.1";1150
220.181.108.94;[22/Sep/2014:03:27:35 -0400];"GET /robotics/sponsors.html HTTP/1.1";9347
202.46.50.37;[22/Sep/2014:05:04:24 -0400];"GET /courses/comp430.taw.f96/final/final.html HTTP/1.1";6552
182.118.44.91;[22/Sep/2014:06:07:34 -0400];"GET / HTTP/1.1";13520
208.115.113.82;[22/Sep/2014:06:27:55 -0400];"GET /robots.txt HTTP/1.1";292
208.115.113.82;[22/Sep/2014:07:10:47 -0400];"GET /%7Enull HTTP/1.1";9353
123.125.71.43;[22/Sep/2014:08:06:50 -0400];"GET / HTTP/1.1";13520
205.174.111.20;[22/Sep/2014:09:07:13 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
205.174.111.20;[22/Sep/2014:09:07:13 -0400];"GET /cs/cs-style.css HTTP/1.1";795
205.174.111.20;[22/Sep/2014:09:07:13 -0400];"GET /favicon.ico HTTP/1.1";1150
101.222.235.89;[22/Sep/2014:09:44:07 -0400];"GET /~deng/research/cadena.pdf HTTP/1.1";169570
101.222.235.89;[22/Sep/2014:09:44:55 -0400];"GET /~deng/research/cadena.pdf HTTP/1.1";169570
101.222.235.89;[22/Sep/2014:09:44:13 -0400];"GET /~deng/research/cadena.pdf HTTP/1.1";169570
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics HTTP/1.1";8876
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics/ HTTP/1.1";8876
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics/default.css HTTP/1.1";4826
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics/images/pic2.jpg HTTP/1.1";607653
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics/images/bg1.jpg HTTP/1.1";83401
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics/images/menuactive.gif HTTP/1.1";970
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics/images/menubg.gif HTTP/1.1";1331
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics/images/hdrpic.png HTTP/1.1";21682
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics/images/topbg.gif HTTP/1.1";3501
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics/images/border2.gif HTTP/1.1";168
146.186.255.43;[22/Sep/2014:10:46:53 -0400];"GET /robotics/images/db1.gif HTTP/1.1";776
