194.160.126.162;[21/Sep/2014:06:45:30 -0400];"GET /~deng/research/cadena.pdf HTTP/1.1";169570
180.76.6.135;[21/Sep/2014:07:40:04 -0400];"GET /switch-menu.js HTTP/1.1";2685
217.165.98.199;[21/Sep/2014:09:01:21 -0400];"GET / HTTP/1.1";13520
217.165.98.199;[21/Sep/2014:09:01:22 -0400];"GET /switch-menu.js HTTP/1.1";2685
217.165.98.199;[21/Sep/2014:09:01:22 -0400];"GET /index-style.css HTTP/1.1";1498
217.165.98.199;[21/Sep/2014:09:01:22 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
217.165.98.199;[21/Sep/2014:09:01:22 -0400];"GET /graphics/logo16.png HTTP/1.1";38873
217.165.98.199;[21/Sep/2014:09:01:22 -0400];"GET /favicon.ico HTTP/1.1";1150
217.165.98.199;[21/Sep/2014:09:01:59 -0400];"GET /ms/mstracks.html HTTP/1.1";8506
217.165.98.199;[21/Sep/2014:09:02:00 -0400];"GET /ms/ms-style.css HTTP/1.1";789
217.165.98.199;[21/Sep/2014:09:03:39 -0400];"GET /ms/msentrance.html HTTP/1.1";11967
217.165.98.199;[21/Sep/2014:09:03:44 -0400];"GET /ms/msfaq.html HTTP/1.1";32593
217.165.98.199;[21/Sep/2014:09:03:45 -0400];"GET /csjob/jobs.html HTTP/1.1";2258
217.165.98.199;[21/Sep/2014:09:03:45 -0400];"GET /misc/misc-style.css HTTP/1.1";953
103.252.24.187;[21/Sep/2014:09:50:59 -0400];"GET /ms/msentrance.html HTTP/1.1";11967
103.252.24.187;[21/Sep/2014:09:50:59 -0400];"GET /ms/ms-style.css HTTP/1.1";789
103.252.24.187;[21/Sep/2014:09:51:00 -0400];"GET /favicon.ico HTTP/1.1";1150
123.125.71.111;[21/Sep/2014:10:56:30 -0400];"GET /~null/personal/images/sylvia2.jpg HTTP/1.1";59286
50.51.56.60;[21/Sep/2014:11:46:43 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
50.51.56.60;[21/Sep/2014:11:46:44 -0400];"GET /cs/cs-style.css HTTP/1.1";795
50.51.56.60;[21/Sep/2014:11:46:44 -0400];"GET /favicon.ico HTTP/1.1";1150
180.76.5.57;[21/Sep/2014:12:47:59 -0400];"GET / HTTP/1.1";13520
108.170.213.152;[21/Sep/2014:14:10:03 -0400];"GET /comp416/lectures/slides02-before.pdf HTTP/1.1";80387
108.170.213.152;[21/Sep/2014:14:10:22 -0400];"GET /favicon.ico HTTP/1.1";1150
220.181.108.120;[21/Sep/2014:15:09:47 -0400];"GET / HTTP/1.1";13520
101.226.168.228;[21/Sep/2014:16:19:46 -0400];"GET /cs/csminor-before-2013.html HTTP/1.1";9896
146.186.64.175;[21/Sep/2014:17:05:49 -0400];"GET /cmpsc472 HTTP/1.1";9185
146.186.64.175;[21/Sep/2014:17:05:49 -0400];"GET /cmpsc472/ HTTP/1.1";9185
146.186.64.175;[21/Sep/2014:17:05:49 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.64.175;[21/Sep/2014:17:05:56 -0400];"GET /cmpsc487/ HTTP/1.1";32707
146.186.64.175;[21/Sep/2014:17:06:07 -0400];"GET /cmpsc487/HW2_UseCase.pdf HTTP/1.1";82422
146.186.64.175;[21/Sep/2014:17:35:24 -0400];"GET /favicon.ico HTTP/1.1";1150
108.2.139.124;[21/Sep/2014:18:06:01 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
108.2.139.124;[21/Sep/2014:18:06:01 -0400];"GET /cs/cs-style.css HTTP/1.1";795
108.2.139.124;[21/Sep/2014:18:06:01 -0400];"GET /favicon.ico HTTP/1.1";1150
66.175.56.35;[21/Sep/2014:18:51:45 -0400];"POST /wp-login.php HTTP/1.1";294
24.150.14.68;[21/Sep/2014:19:34:58 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
24.150.14.68;[21/Sep/2014:19:34:58 -0400];"GET /cs/cs-style.css HTTP/1.1";795
24.150.14.68;[21/Sep/2014:19:34:58 -0400];"GET /favicon.ico HTTP/1.1";1150
118.249.118.125;[21/Sep/2014:20:39:19 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.64.170;[21/Sep/2014:21:24:55 -0400];"GET /comp519/ HTTP/1.1";5424
146.186.64.170;[21/Sep/2014:21:25:03 -0400];"GET /comp519/hw3.html HTTP/1.1";4327
146.186.64.170;[21/Sep/2014:21:25:03 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.64.170;[21/Sep/2014:21:25:03 -0400];"GET /favicon.ico HTTP/1.1";1150
141.0.9.59;[21/Sep/2014:22:31:35 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
141.0.9.59;[21/Sep/2014:22:31:37 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
198.46.81.50;[21/Sep/2014:23:16:38 -0400];"GET /wordpress/wp-admin/ HTTP/1.1";301
87.98.142.55;[22/Sep/2014:00:12:15 -0400];"POST /wp-login.php HTTP/1.1";294
180.76.5.187;[22/Sep/2014:01:20:10 -0400];"GET /~rawalker/index_files/themedata.thmx HTTP/1.1";318
146.186.64.170;[22/Sep/2014:01:38:39 -0400];"GET / HTTP/1.1";13520
146.186.64.170;[22/Sep/2014:01:38:39 -0400];"GET /index-style.css HTTP/1.1";1498
146.186.64.170;[22/Sep/2014:01:38:39 -0400];"GET /switch-menu.js HTTP/1.1";2685
146.186.64.170;[22/Sep/2014:01:38:39 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
146.186.64.170;[22/Sep/2014:01:38:39 -0400];"GET /graphics/logo16.png HTTP/1.1";38873
146.186.64.170;[22/Sep/2014:01:38:39 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.64.170;[22/Sep/2014:01:38:39 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.64.170;[22/Sep/2014:01:38:41 -0400];"GET /ms/msstudents.html HTTP/1.1";12261
146.186.64.170;[22/Sep/2014:01:38:42 -0400];"GET /ms/ms-style.css HTTP/1.1";789
23.236.124.156;[22/Sep/2014:01:59:07 -0400];"GET /mspapers/sources/xiaoyu-sun.pdf HTTP/1.1";1883637
23.236.124.156;[22/Sep/2014:01:59:07 -0400];"GET /favicon.ico HTTP/1.1";1150
23.236.124.156;[22/Sep/2014:01:59:24 -0400];"GET /mspapers/sources/xiaoyu-sun.pdf HTTP/1.1";1883637
122.154.232.101;[22/Sep/2014:02:45:14 -0400];"GET /qxqx/qxq/qx.php HTTP/1.1";297
122.154.232.101;[22/Sep/2014:02:45:15 -0400];"GET /phpMyAdmin/scripts/setup.php HTTP/1.1";310
122.154.232.101;[22/Sep/2014:02:45:15 -0400];"GET /pma/scripts/setup.php HTTP/1.1";303
122.154.232.101;[22/Sep/2014:02:45:16 -0400];"GET /myadmin/scripts/setup.php HTTP/1.1";307
103.245.206.154;[22/Sep/2014:03:54:16 -0400];"GET /favicon.ico HTTP/1.1";1150
121.110.50.215;[22/Sep/2014:05:20:53 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
121.110.50.215;[22/Sep/2014:05:20:53 -0400];"GET /cs/cs-style.css HTTP/1.1";795
121.110.50.215;[22/Sep/2014:05:20:54 -0400];"GET /favicon.ico HTTP/1.1";1150
180.76.6.135;[22/Sep/2014:06:49:24 -0400];"GET / HTTP/1.1";13520
220.181.108.97;[22/Sep/2014:07:07:58 -0400];"GET / HTTP/1.1";13520
