97.96.239.183;[21/Sep/2014:06:46:03 -0400];"GET /comp416/lectures/slides03-before.pdf HTTP/1.1";66360
23.110.41.98;[21/Sep/2014:07:49:17 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
23.110.41.98;[21/Sep/2014:07:49:17 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
23.110.41.98;[21/Sep/2014:07:49:17 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
23.110.41.98;[21/Sep/2014:07:49:17 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
23.110.41.98;[21/Sep/2014:07:49:17 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
23.110.41.98;[21/Sep/2014:07:49:17 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
23.110.41.98;[21/Sep/2014:07:49:17 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
23.110.41.98;[21/Sep/2014:07:49:17 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
23.110.41.98;[21/Sep/2014:07:49:17 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
23.110.41.98;[21/Sep/2014:07:49:18 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
23.110.41.98;[21/Sep/2014:07:49:18 -0400];"GET /~null/baci/baci-user-guide.pdf HTTP/1.0";60523
204.210.189.98;[21/Sep/2014:09:02:33 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
204.210.189.98;[21/Sep/2014:09:02:33 -0400];"GET /cs/cs-style.css HTTP/1.1";795
204.210.189.98;[21/Sep/2014:09:02:33 -0400];"GET /favicon.ico HTTP/1.1";1150
204.210.189.98;[21/Sep/2014:09:02:33 -0400];"GET /favicon.ico HTTP/1.1";1150
204.210.189.98;[21/Sep/2014:09:25:47 -0400];"GET /cs/csdegree-before-2013.html HTTP/1.1";20842
173.243.47.114;[21/Sep/2014:09:57:15 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
173.243.47.114;[21/Sep/2014:09:57:15 -0400];"GET /cs/cs-style.css HTTP/1.1";795
173.243.47.114;[21/Sep/2014:09:57:16 -0400];"GET /favicon.ico HTTP/1.1";1150
81.169.144.135;[21/Sep/2014:10:57:06 -0400];"POST /wp-login.php HTTP/1.1";294
71.207.61.253;[21/Sep/2014:11:48:59 -0400];"GET /comp594/ HTTP/1.1";7013
71.207.61.253;[21/Sep/2014:11:49:00 -0400];"GET /favicon.ico HTTP/1.1";1150
77.3.186.150;[21/Sep/2014:12:55:49 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
77.3.186.150;[21/Sep/2014:12:55:49 -0400];"GET /cs/cs-style.css HTTP/1.1";795
77.3.186.150;[21/Sep/2014:12:55:50 -0400];"GET /favicon.ico HTTP/1.1";1150
77.3.186.150;[21/Sep/2014:12:56:26 -0400];"GET /favicon.ico HTTP/1.1";1150
71.207.61.253;[21/Sep/2014:13:59:23 -0400];"GET /favicon.ico HTTP/1.1";1150
71.207.61.253;[21/Sep/2014:13:59:33 -0400];"GET /comp594/papers.html HTTP/1.1";4675
73.32.61.66;[21/Sep/2014:14:12:38 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
73.32.61.66;[21/Sep/2014:14:12:38 -0400];"GET /cs/cs-style.css HTTP/1.1";795
73.32.61.66;[21/Sep/2014:14:12:38 -0400];"GET /favicon.ico HTTP/1.1";1150
71.207.61.253;[21/Sep/2014:14:51:26 -0400];"GET /favicon.ico HTTP/1.1";1150
180.76.6.53;[21/Sep/2014:15:13:57 -0400];"GET /ms/index.html HTTP/1.1";7296
71.207.61.253;[21/Sep/2014:16:06:35 -0400];"GET / HTTP/1.1";13520
71.207.61.253;[21/Sep/2014:16:06:36 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
71.207.61.253;[21/Sep/2014:16:06:36 -0400];"GET /switch-menu.js HTTP/1.1";2685
71.207.61.253;[21/Sep/2014:16:06:36 -0400];"GET /index-style.css HTTP/1.1";1498
71.207.61.253;[21/Sep/2014:16:06:36 -0400];"GET /graphics/logo16.png HTTP/1.1";38873
71.207.61.253;[21/Sep/2014:16:06:44 -0400];"GET /resources/journal-list.html HTTP/1.1";38958
71.207.61.253;[21/Sep/2014:16:06:44 -0400];"GET /resources/resources-style.css HTTP/1.1";665
123.125.71.29;[21/Sep/2014:16:20:40 -0400];"GET / HTTP/1.1";13520
192.249.122.230;[21/Sep/2014:17:06:06 -0400];"GET /blog/wp-admin/ HTTP/1.1";296
146.186.89.13;[21/Sep/2014:18:08:20 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
146.186.89.13;[21/Sep/2014:18:08:20 -0400];"GET /cs/cs-style.css HTTP/1.1";795
146.186.89.13;[21/Sep/2014:18:08:20 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.89.13;[21/Sep/2014:18:08:25 -0400];"GET /487 HTTP/1.1";285
146.186.89.13;[21/Sep/2014:18:08:32 -0400];"GET /cmpsc/487 HTTP/1.1";291
146.186.89.13;[21/Sep/2014:18:08:37 -0400];"GET /cmpsc487 HTTP/1.1";32707
146.186.89.13;[21/Sep/2014:18:08:37 -0400];"GET /cmpsc487/ HTTP/1.1";32707
146.186.89.13;[21/Sep/2014:18:08:37 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.89.13;[21/Sep/2014:18:09:11 -0400];"GET /cmpsc487/SenateMinutes-Charter_Scope.pdf HTTP/1.1";141851
146.186.89.13;[21/Sep/2014:18:09:31 -0400];"GET /cmpsc487/CMPSC487W_MinutesRequirmentsOutline.pdf HTTP/1.1";167977
180.210.204.141;[21/Sep/2014:19:01:56 -0400];"POST /wp-login.php HTTP/1.1";294
108.235.18.82;[21/Sep/2014:19:35:08 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
108.235.18.82;[21/Sep/2014:19:35:09 -0400];"GET /cs/cs-style.css HTTP/1.1";795
108.235.18.82;[21/Sep/2014:19:35:09 -0400];"GET /favicon.ico HTTP/1.1";1150
108.235.18.82;[21/Sep/2014:19:35:09 -0400];"GET /apple-touch-icon-precomposed.png HTTP/1.1";314
108.235.18.82;[21/Sep/2014:19:35:09 -0400];"GET /apple-touch-icon.png HTTP/1.1";302
97.74.197.37;[21/Sep/2014:20:44:09 -0400];"GET /wordpress/wp-admin/ HTTP/1.1";301
91.207.7.165;[21/Sep/2014:21:27:42 -0400];"GET /comp512/derr-gup-prop.pdf HTTP/1.0";289713
203.217.145.31;[21/Sep/2014:22:32:56 -0400];"GET /courses/comp419.taw.s97/rdesign4.html HTTP/1.1";49153
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img1.gif HTTP/1.1";62
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img2.gif HTTP/1.1";80
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img3.gif HTTP/1.1";55
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img24.gif HTTP/1.1";223
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img23.gif HTTP/1.1";218
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img4.gif HTTP/1.1";74
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img5.gif HTTP/1.1";70
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img6.gif HTTP/1.1";71
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img22.gif HTTP/1.1";180
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img17.gif HTTP/1.1";185
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img21.gif HTTP/1.1";183
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img18.gif HTTP/1.1";181
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img14.gif HTTP/1.1";132
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img13.gif HTTP/1.1";129
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img19.gif HTTP/1.1";131
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img16.gif HTTP/1.1";129
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img15.gif HTTP/1.1";132
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img20.gif HTTP/1.1";129
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img11.gif HTTP/1.1";75
203.217.145.31;[21/Sep/2014:22:32:57 -0400];"GET /courses/comp419.taw.s97/rdesign4/img9.gif HTTP/1.1";128
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img7.gif HTTP/1.1";74
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img8.gif HTTP/1.1";64
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img12.gif HTTP/1.1";73
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img10.gif HTTP/1.1";130
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img25.gif HTTP/1.1";60
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img51.gif HTTP/1.1";129
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img52.gif HTTP/1.1";129
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img53.gif HTTP/1.1";75
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img54.gif HTTP/1.1";74
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img55.gif HTTP/1.1";73
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img56.gif HTTP/1.1";71
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img26.gif HTTP/1.1";64
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img27.gif HTTP/1.1";95
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img28.gif HTTP/1.1";60
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img29.gif HTTP/1.1";84
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img30.gif HTTP/1.1";84
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img31.gif HTTP/1.1";130
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img32.gif HTTP/1.1";105
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img33.gif HTTP/1.1";182
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img34.gif HTTP/1.1";87
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img35.gif HTTP/1.1";90
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img36.gif HTTP/1.1";90
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img37.gif HTTP/1.1";143
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img38.gif HTTP/1.1";147
203.217.145.31;[21/Sep/2014:22:32:58 -0400];"GET /courses/comp419.taw.s97/rdesign4/img39.gif HTTP/1.1";150
203.217.145.31;[21/Sep/2014:22:32:59 -0400];"GET /courses/comp419.taw.s97/rdesign4/img40.gif HTTP/1.1";66
203.217.145.31;[21/Sep/2014:22:32:59 -0400];"GET /courses/comp419.taw.s97/rdesign4/img41.gif HTTP/1.1";139
203.217.145.31;[21/Sep/2014:22:32:59 -0400];"GET /favicon.ico HTTP/1.1";1150
202.153.223.130;[21/Sep/2014:23:23:12 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
202.153.223.130;[21/Sep/2014:23:23:13 -0400];"GET /cs/cs-style.css HTTP/1.1";795
146.186.210.46;[22/Sep/2014:00:14:42 -0400];"GET /cse103/Problem%20set1.pdf HTTP/1.1";87009
146.186.210.46;[22/Sep/2014:00:14:42 -0400];"GET /cse103/Problem%20set1.pdf HTTP/1.1";87009
146.186.210.46;[22/Sep/2014:00:14:42 -0400];"GET /cse103/Problem%20set1.pdf HTTP/1.1";87009
146.186.210.46;[22/Sep/2014:00:14:42 -0400];"GET /cse103/Problem%20set1.pdf HTTP/1.1";87009
146.186.210.46;[22/Sep/2014:00:14:42 -0400];"GET /favicon.ico HTTP/1.1";1150
103.5.151.241;[22/Sep/2014:01:22:41 -0400];"GET /wp-admin/ HTTP/1.1";291
136.185.67.168;[22/Sep/2014:01:59:32 -0400];"GET /mspapers/sources/xiaoyu-sun.pdf HTTP/1.1";1883637
136.185.67.168;[22/Sep/2014:01:59:50 -0400];"GET /mspapers/sources/xiaoyu-sun.pdf HTTP/1.1";1883637
136.185.67.168;[22/Sep/2014:02:01:40 -0400];"GET /mspapers/sources/xiaoyu-sun.pdf HTTP/1.1";1883637
86.66.198.95;[22/Sep/2014:02:46:59 -0400];"GET /txn131/graphcoloring.html HTTP/1.1";42896
86.66.198.95;[22/Sep/2014:02:47:00 -0400];"GET /favicon.ico HTTP/1.1";1150
86.66.198.95;[22/Sep/2014:02:47:05 -0400];"GET /favicon.ico HTTP/1.1";1150
